URLTilemap,AnchoMapa,AltoMapa,AnchoTile,AltoTile,TileID,Colision
assets/tilesX2.png,800,600,32,32,funLevelEditor,v0
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,48,true
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,48,true
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,0,false
"",,,,,20,false
"",,,,,0,false
"",,,,,0,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,0,false
"",,,,,0,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,48,true
"",,,,,20,false
"",,,,,48,true
"",,,,,48,true
"",,,,,48,true
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,0,false
"",,,,,0,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,48,true
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,48,true
"",,,,,48,true
"",,,,,48,true
"",,,,,48,true
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,0,false
"",,,,,0,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,20,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,20,false
