URLTilemap,AnchoMapa,AltoMapa,AnchoTile,AltoTile,TileID,Colision
assets/tilesX2.png,800,600,32,32,funLevelEditor,v0
"",,,,,32,true
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,33,true
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,92,false
"",,,,,92,false
"",,,,,34,true
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,92,false
"",,,,,92,false
"",,,,,33,true
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,33,true
"",,,,,31,true
"",,,,,33,true
"",,,,,31,true
"",,,,,31,true
"",,,,,32,true
"",,,,,33,true
"",,,,,34,true
"",,,,,33,true
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,32,true
"",,,,,15,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
"",,,,,0,false
